Score,Review_title,Review_content,Date_of_travel,Bonus
30,Table not clean,"Only two weeks before my departure, my original afternoon flight was cancelled. So I had to take a morning flight. Service was good, but the table wasn't clean. So I wiped it with my antibacterial wipes. I reported to the customer care on my return, as it's not good at all. Immediately they returned a call with an apology and gave me complimentary FF points.", July 2023,Legroom: 10 Seat comfort: 10 In-flight Entertainment: 30 Customer service: 20 Value for money: 10 Cleanliness: 20 Check-in and boarding: 10 Food and Beverage: 10
10,Joyce¡¯s disgraceful Qantas,"Not even remotely interested having this morning had my Business Class seat booked August 2022 on a flight from Sydney to Cairns DOWN GRADED, yes DOWNGRADED, to economy class. Flying with Qantas used to feel like a privileged, romantic adventure. Not any more. These days flying with Qantas is a humiliating ordeal.

Not surprising Qantas world airline ranking has dropped to 19 from the top ten and that Qantas was the very worthy recipient of the CHOICE organisation¡¯s 2022 Shonky Award.", July 2023,Legroom: 30 Seat comfort: 10 In-flight Entertainment: 10 Customer service: 30 Value for money: 10 Cleanliness: 30 Check-in and boarding: 10 Food and Beverage: 10
10,Disappointing flight,"Flight delayed, plane old, no leg room. Hardly any service wouldn¡¯t want to be dying of thirst. Ground staff at Bangkok airport very rude.", July 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,"Qantas, the success is not when you do this business, but when you are happy to do it.","Absolutely horrible!! My suggestions are to AVOID any business with qantas.
I booked online flight to Thessaloniki in Greece one week ago. During the online process in a favour to complete my flight reservation, I choose the journey from Thessaloniki to Sydney in a duration of 26h and 40m and proceed to complete. However, after I paid the full amount and I received the confirmation e-ticket, the inbound journey was clearly showing almost 3days trip (leaving Thessaloniki on 30.9.23 and arriving in Sydney on 2.10.23), yes 3days trip via London.
I immediately called customer service to request a full refund, after an hour of explaining the situation (and 1h 13m) being on hold I was instructed that a refund will be less (around $250) from the ticket value, and I agree on that since I had no other choice.
After 3 days, I received refund of $3,151.92 from the ticket that I paid $3,964.22 and I lost $812.30
I removed qantas from my personal and my business list as well I instructed all my business associates to follow my action.", July 2023,Legroom: 30 Seat comfort: 40 In-flight Entertainment: 40 Customer service: 10 Value for money: 10 Cleanliness: 30 Check-in and boarding: 10 Food and Beverage: 50
10,Terrible selfish company,Qantas is a absolute joke. Terrible old planes and cramped seats. Flights are always delayed. We were delayed by 2 hrs and then 4 hrs. What a joke without any compensation at all. I have told my company and they will stop flying with them from now on., July 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
20,"Very average, definitely not worth the cost if paying actual dollars","I travelled to Queenstown on Business Class with a friend via a Qantas points redemption. Overall I would have to say the experience was very average and barely adequate for a 3 hr trans-Tasman flight. I was certainly glad it was a redemption, as I would have been very disappointed if I had paid the $1600 price for this flight.

The only difference between this flight and Qantas domestic class appeared to be the champagne and more (frequent) drink service. To Qantas' credit, the Jacquart Cuvee champagne was quite nice and the pumpkin salad I had was quite nice. The accompaniments (biscuits and dessert) were very basic and below the standard I am used to on Virgin domestic business service. The beef and chicken dishes offered to other passengers were not to my taste at all and looked to be quite sloppy, below the standard expected for international business.

Some other points of note, firstly the check-in process was very slow. The ""priority"" queue was long and if you can use the automatic machines (for economy) it probably would have been quicker. As we were checking in skis and had a lot of bags (the main reason for travelling in business) we used the manual check-in. The process took over 20 mins. As a result of this and the long ""priority"" security line (not Qantas' fault, I know) we had very little time to spend in the lounge. The lounge time was further reduced by having to take a bus to a remote parking bay, which also meant there was no priority boarding and the flight also left and arrived late.

The food offerings in the international business lounge were similarly less extensive than what I have experienced in the past in the Air NZ lounge and Virgin domestic lounges, although still acceptable.

I also felt that the business seat was more upright in its normal position than the Virgin 737 business seat, and the recline was more limited (although I couldn't find exact figures, the seat pitch is 1"" more with Virgin).

Qantas also forgot to load the business noise-cancelling headphones on this flight and offered a 2000 point credit as a result (which was promptly delivered without further request, to their credit).

All up, I felt that Virgin domestic business was slightly better, even with the lack of IFE, footrest and USB charging, due to the more comfortable seat (at least to me), better food, and better lounges.

Unfortunately there are no wide-body flights to Queenstown but it is clear the 737 service falls very, very short of normal international business (i.e. wide-body) service. No tablecloth, the meal is presented on a single tray instead of individual plates, not even drip coffee available (instant only), and a very basic seat. Compared to trans-Tasman business I've experienced with Air NZ (old 767 and 777) and Emirates (A380) it felt more like premium economy. It's also disappointing that Qantas don't offer Wifi on international 737 flights.", June 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Quantas is getting worst day by day. Very expensive for the quality of the service,"I had flight from Rome to Sydney with stop in Perth, the first 15 hours flight was poor in terms of customer care and quality service.
Firstly the hostess in our sector was very rude, in 15 h she never smiled to the customers and when we asked something to her she was answering very rud. Secondly the food was ridiculous. I paid 1095 Euros to have a poor lunch, How can a flight from Rome with most of the customers on board from Italy gave Pasta that we all known how poor will be the quality... So We decided to get chicken salad and really I never had a meal worst than that, probably KFC made had better quality.
Then you dont even provide a dinner, we had to wait till the morning after to have a ridiculous breakfast made by unknown sausages and a stuff that was meant to be scrumble eggs but really you could do better! Even China Airlines provide a better service to their customers.
Also we were sitting close to the engine and the noise of that motor was insane and as you try to save as much money you can, you don't even provide earplugs or the normal bag with a toothbrush and all the necessaire to made customers confortable during a 15 hours flight.
Then once in Perth we had more than 2 hours delay and again on the flight to Sydney the meal was ridiculous.

I booked your company thinking was a good and customers care company but was a sad mistake.
Definitelly I will never flight again with you and will try to convince more people possible to spend better their money.", June 2023,Legroom: 30 Seat comfort: 30 In-flight Entertainment: 20 Customer service: 10 Value for money: 10 Cleanliness: 30 Check-in and boarding: 30 Food and Beverage: 10
10,Avoid at all cost,"By far the worst flight experience I've ever had and I firmly believe this company is a scam. My luggage was lost in February and despite following all instructions that were given to me by Qantas team members , I have yet to receive a refund for my lost items.

My bag was lost on my flight and upon landing in Australia I immediatly reported it missing and received a file reference number. I was told my bag was in Dallas TX and would arrive the following day. The next day I called to check on the status of my bag and was told it was ""delayed but on its way"".

My bag never arrived for the entirety of my trip. I was told to check in at the Dallas airport during my departure home to see if my bag was there, it wasn't. I was instructed to call customer service, the agent attempted to end my call without resolution because there is ""a time limit per call"". I push back and asked for resolution. The agent told me my bag would be shipped to my home address, it never came. I reached back out and was told to fill out a claims form to receive a refund for my lost items, and that I would be receiving an email shortly providing me with a case number. I was instructed to email my claims form back to this email address. The email never came.

I called customer service, after an hour of explaining the situation I was given the email address and instructed to submit my claims form with my file reference number. I got no response. I reached back out, no response.

Today I spent the last hour and 8 minutes with a customer service agent who told me my file reference number doesn't exist (yet every other agent was able to use it with no issue), then put me on a ""brief hold"" which lasted 20 minutes, then the call ended abruptly with no resolution.

I am at a loss of words with how disorganized this company is. I'm also extremely frustrated with having to put forth hours of my time and effort on a situation that has a very simple solution. I've been fighting for my refund since February, have spoken with over 20 Qantas staff members throughout this process and continue to get nowhere.", February 2023,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
10,Daylight Robbery,"Appalling customer service and daylight robbery. Booked with Qantas directly 3 weeks ago for an early flight only to find we were bumped due to overbooking by Qantas. Told we were on a later flight but had to pay an additional GBP 200 for the pleasure! Despite their acknowledgment of fault.
Couldn¡¯t care less attitude when trying to resolve this.", June 2023,Legroom: 10 Seat comfort: 10 In-flight Entertainment: 10 Customer service: 10 Value for money: 10 Cleanliness: 10 Check-in and boarding: 10 Food and Beverage: 10
10,Uncomfortable waste of money,"Expensive Business class. Seated 1A seat would not move. Did not seem light International aircraft maybe domestic. Crew were exceptional.
Food was disgusting. Seat was extremely uncomfortable & no room to move.
Will never use Qantas again after years of loyalty, I am Gold FF.
Using Garuda in August.", March 2023,Legroom: 10 Seat comfort: 10 In-flight Entertainment: 30 Customer service: 40 Value for money: 10 Cleanliness: 30 Check-in and boarding: 50 Food and Beverage: 10
10,Purchased a Carbon Emissions Offset to get Green Tier. NEVER GOT IT!,"I made this purchase on 28.07.2022, order number QA10656430, paid $65 in hope to contribute to the Environment care program.

I was meant to get a Green Tier with all the consequent perks, but never got it. It¡¯s been almost a year, however Qantas ¡®Customer Insult Service¡¯ wouldn¡¯t even bother to do anything.

Been calling and sending emails to the customer service for a month now in vain. Every time they seem to be unaware of what¡¯s been happening and it¡¯s like something new they¡¯ve never heard before.

On top of that, they hung up on my call in the middle of the conversation or make excuses as if the phone call was breaking up.

Overall, total disrespect and humiliation from this joke customer service.

I assume I¡¯ve donated $65 to Qantas, they never offset any emissions and it¡¯s just the way for them to rip off the customers.", August 2022,Legroom: null Seat comfort: null In-flight Entertainment: null Customer service: null Value for money: null Cleanliness: null Check-in and boarding: null Food and Beverage: null
