,node.id,node.name,node.tagline,node.createdAt,node.votesCount
0,405156,Wope — SEO Analytics Meets AI,Data + AI: Powerful SEO Insights for Generative Search Era,2023-07-18T07:35:26Z,130
1,400611,B2Metric Decision Intelligence,"Decision intelligence for growth, sales and product",2023-07-18T07:01:00Z,123
2,401849,Live Streaming SDK by Dyte,Add interactive live-streaming to your product in minutes,2023-07-18T07:03:00Z,121
3,402735,neetoCal,Scheduling made simple,2023-07-18T07:01:00Z,117
4,405171,Anyword Performance Boost AI Extension,"Get better marketing results on ChatGPT, Notion & Canva",2023-07-18T07:15:59Z,79
5,403709,Twos,"Notes, tasks, reminders, events & lists in one simple place",2023-07-18T07:34:04Z,73
6,404437,Notification Preferences by SuprSend,Solve notification unsubscription with preferences,2023-07-18T07:37:14Z,69
7,404679,Email AI by Snov.io,Generate reply boosting emails in seconds,2023-07-18T07:31:18Z,65
8,402005,Wonderslide,"Blazing fast presentation design, powered by AI",2023-07-18T07:37:31Z,59
9,404617,CoPrompt,Simple & flexible platform for teams to use ChatGPT together,2023-07-18T07:01:00Z,53
10,404491,Memberstack 2.0,Make SaaS products + membership sites in Webflow and beyond,2023-07-18T07:38:10Z,45
11,402932,Circle,Value-based social network,2023-07-18T07:36:25Z,40
12,398411,User Library by Premast,Cloud storage for your presentations,2023-07-18T07:37:51Z,39
13,403940,Permar AI,Generate landing pages in seconds,2023-07-18T07:01:00Z,41
14,405115,Opine,Video feedback for Figma,2023-07-18T07:36:04Z,34
15,405169,Papersign,Sent. Signed. Sorted. Document signing simplified. ,2023-07-18T07:39:40Z,32
16,401852,Finito AI,Use AI in any app. Simply select text and press Control key.,2023-07-18T07:39:18Z,31
17,405091,Notion Template Wellness Hub,Wellness Hub is a wellness template designed for users,2023-07-18T07:09:06Z,27
18,404843,Booom.ai,Generate your next team game with AI,2023-07-18T07:38:32Z,24
19,405085,Webpecker,Scrape from social networks to search engines effortlessly,2023-07-18T07:01:00Z,25
20,404494,AI Amazon Business Repricer,Maximize your profits on Amazon Business with Seller Snap,2023-07-18T07:12:04Z,24
21,402138,Conversagent,"GPT shop assistant: influential, engaging & always available",2023-07-18T07:11:03Z,24
22,405077,Simplebio,Turn your Linkedin into a kickass personal page,2023-07-18T07:01:00Z,24
23,405057,QR Blend,The first AI QR code generator in the world,2023-07-18T07:08:04Z,23
24,403000,InOrbit.io,"Meetings, frameworks and actions - aligned",2023-07-18T07:19:53Z,22
25,404469,Resume Builder by Freesumes,"Create a modern resume in minutes, 100% free!",2023-07-18T07:18:36Z,22
26,404901,Prettyfolio,"Discover the best portfolio websites, curated just for you",2023-07-18T07:26:26Z,21
27,403899,Starling Desktop,Done with innumerous file versions and endless searching?,2023-07-18T07:28:45Z,19
28,404697,inlang VSCode extension for i18n (beta),Extension for i18n codebases making developers life's easier,2023-07-18T07:38:57Z,18
29,405082,Wizum,Concise course videos for students by the brightest peers,2023-07-18T07:01:00Z,20
30,405148,Unified Inbox by ALLO,The only Inbox that truly matters,2023-07-18T07:17:44Z,18
31,404858,AutoRFP.ai,"Automate RFPs & security questionnaires, win more business",2023-07-18T07:36:47Z,17
32,405179,LampBuilder,Create a startup landing page in seconds,2023-07-18T08:11:53Z,15
33,402750,MailBunny.ai,"Email based AI assistant, collaborate, summarize & more",2023-07-18T07:29:32Z,17
34,405123,Comments Owl for Hacker News,"Highlight new comments, mute users & tweak UI on Hacker News",2023-07-18T07:05:53Z,18
35,400472,ThinkTask,Unleash the power of ChatGPT in task management,2023-07-18T07:14:19Z,17
36,405072,ETHIACK,24/7 offensive security testing with 99% accuracy,2023-07-18T07:24:44Z,16
37,405035,AtFirst - Daily Affirmations,AI voice-guided daily affirmations to help you feel happier,2023-07-18T07:21:52Z,16
38,405154,CM3leon,Efficient generative AI model for text and images from Meta,2023-07-18T07:01:00Z,16
39,404946,SparkBrief,AI assisted essay writing in different tones and objectives,2023-07-18T07:09:42Z,15
40,403126,Deno SaaSKit,"The fastest, easiest way to launch your SaaS",2023-07-18T07:31:57Z,13
41,405045,Threads Video Downloader - Shortcut,Replace threads.net with threadster.net to download videos,2023-07-18T07:29:51Z,13
42,405034,ReflectMate,Rapid daily journaling companion for busy people,2023-07-18T07:29:06Z,13
43,403977,Chronoscope,Automatic time categorization for software engineering teams,2023-07-18T07:06:05Z,14
44,405080,AIProductHub.com,The hub to discover the new and reviewed AI Product,2023-07-18T07:23:30Z,13
45,405016,HelpRange,Next-gen documents protection & analytics,2023-07-18T07:21:25Z,13
46,404516,Fabric for iOS & Android,"Your digital world, in your pocket",2023-07-18T07:30:09Z,12
47,405157,React.js serverless uploader component,Add upload features to your react projects in 2 minutes,2023-07-18T07:19:24Z,12
48,404943,The Digital Nomad WhatsApp Library,"Discover, add and rate social groups for digital nomads",2023-07-18T07:22:49Z,11
49,404282,Design X Maker,Unleash limitless designs propel your growth,2023-07-18T07:20:34Z,11
50,405163,LISTLY TABS,Web Extraction ➡️ Spreadsheet📊,2023-07-18T07:40:04Z,9
51,405133,Roobin,AI assistant for WhatsApp,2023-07-18T07:13:16Z,10
52,405033,KORI,"Stop sending cold emails, start receiving warm introductions",2023-07-18T07:12:37Z,10
53,405128,LaunchKnight,Built to end status meetings forever,2023-07-18T07:07:10Z,10
54,405113,WiseSponsor,Find your perfect sponsorship match for your events,2023-07-18T07:35:12Z,8
55,404873,Runcaster,Live cricket scores on your lock screen,2023-07-18T07:32:28Z,5
56,405146,TimeToCoda,"AI Time Tracker, Weekly Journal and Productivity Dashboard",2023-07-18T05:15:19Z,8
57,404216,Folio 2.0,Transform your product demos into immersive experiences,2023-07-17T07:11:33Z,688
58,404298,Record 3.0,Support layer built for B2B SaaS,2023-07-17T07:01:00Z,692
59,404532,Scalar Insight,"See the cost of your meetings in G Calendar, time is money",2023-07-17T07:01:00Z,454
60,404150,Cedalio,A database that is verifiable and auditable by default,2023-07-17T07:01:00Z,282
61,404619,Chestr Wishlist 1.0 Web + iOS App,"Save products, get discount + restock alerts & more",2023-07-17T07:01:00Z,246
62,403886,dstack,Cost-effective LLM development,2023-07-17T07:14:41Z,235
63,404724,Tech Vetting,Candidates' skills testing on autopilot,2023-07-17T07:01:00Z,235
64,404962,Minipay,"The future of subscriptions, only pay for what you use",2023-07-17T07:03:15Z,221
65,404675,XO Analytics,Unleashing e-commerce growth with AI powered analytics,2023-07-17T07:04:10Z,180
66,404686,Rapid,Your bridge to India’s talent pool,2023-07-17T07:08:00Z,168
67,405051,VERA AI-Coach,Ace your next job interview,2023-07-17T15:13:11Z,121
68,404837,Promp,"A marketplace to discover, innovate & monetize AI prompts",2023-07-17T07:04:52Z,156
69,404927,Transluna,Translate JSON effortlessly,2023-07-17T07:06:07Z,136
70,404939,Lingolol,"Learn languages while you laugh, with TikTok stars",2023-07-17T07:12:13Z,124
71,404515,Prana: Your time is limited,Live age & life percentage on new tab to keep you motivated,2023-07-17T07:01:00Z,113
72,404911,Prosper - Tasks & Day Planner,"Schedule, plan, organize life",2023-07-17T07:10:49Z,109
73,404922,AIMailman,Create the most powerful emails in the world,2023-07-17T07:04:31Z,103
74,403933,BrainstormGPT.ai,"Enter a topic, get a brainstorm report by AI",2023-07-17T07:10:30Z,95
75,404887,Tilfaz,"Advanced IPTV app for iOS, Mac and Apple TV",2023-07-17T07:13:08Z,94
76,404711,Formsly AI Builder,Create forms and surveys with AI,2023-07-17T07:01:00Z,93
77,404973,Proxim,Find and post new and innovative open source projects,2023-07-17T07:05:42Z,92
78,404949,WishTip,Turn your wishlist into cash,2023-07-17T07:02:59Z,87
79,404986,Vestaso,Unlimited Webflow design & development monthly subscription,2023-07-17T07:16:33Z,86
80,404784,BlogSpark With GPT-4,The complete blogging prompts collection,2023-07-17T07:03:33Z,86
81,404762,Outboundly 2.0,GPT-4 powered exention for prospect research & cold outreach,2023-07-17T07:06:41Z,80
